model	nDCGRendle2020	Recall	HR	Precision	MAP	MRR	similarity_time	indexing_time	candidates_retrieval_time	similarity_matrix_time
ItemKNN_nn=600_sim=rp_faiss_imp=standard_bin=False_bits=512_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.07227031547470131	0.09510835669371125	0.17402814546467885	0.010317681482513585	0.02192364021507692	0.09468817171784835	5.550250053405762	0.5520620346069336	0.621575117111206	3.193376064300537
ItemKNN_nn=600_sim=rp_faiss_imp=standard_bin=False_bits=16_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.042795458277271325	0.050693754014576396	0.10136547303887418	0.005764943569736659	0.013549707536386851	0.06158771159472143	5.152266979217529	0.46030688285827637	0.5539250373840332	3.172077178955078
ItemKNN_nn=600_sim=rp_faiss_imp=standard_bin=False_bits=32_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.05574245417885076	0.06576680253423262	0.12672425804653756	0.0073045840880590785	0.017321403082939064	0.0792940717771328	5.149611949920654	0.4625108242034912	0.5467691421508789	3.174131155014038
ItemKNN_nn=600_sim=rp_faiss_imp=standard_bin=False_bits=128_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.06610882123149221	0.08308349950624522	0.1551483906924899	0.009129859272676606	0.02033950436943357	0.09009134479991408	5.237775802612305	0.4715609550476074	0.5688009262084961	3.182826042175293
ItemKNN_nn=600_sim=rp_faiss_imp=standard_bin=False_bits=2_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.02034946389303358	0.026558812830824747	0.0567785983001254	0.003131531280479309	0.006460811474761049	0.02828072378672561	4.918389081954956	0.4850029945373535	0.5000901222229004	3.1654090881347656
ItemKNN_nn=600_sim=rp_faiss_imp=standard_bin=False_bits=8_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.03413212687158854	0.04262378206368688	0.08708373972411872	0.004890622822906507	0.010746475320410169	0.048638726125721794	5.086801052093506	0.4562368392944336	0.5323491096496582	3.175611972808838
ItemKNN_nn=600_sim=rp_faiss_imp=standard_bin=False_bits=4_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.027090651842409365	0.03432303053056192	0.07126933259021875	0.003988435279364638	0.008605628077236971	0.03834148438192963	4.974430799484253	0.4802670478820801	0.5355918407440186	3.175379991531372
ItemKNN_nn=600_sim=rp_faiss_imp=standard_bin=False_bits=256_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.07013640738061709	0.09137623406161678	0.16782778319632158	0.00996934652361711	0.02143406948050148	0.09303687288738866	5.337921142578125	0.48439812660217285	0.5951411724090576	3.202249050140381
ItemKNN_nn=600_sim=rp_faiss_imp=standard_bin=False_bits=64_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0620911050522031	0.076803669342662	0.14448934095025776	0.008405322558171939	0.019250171230472995	0.0860219815231196	5.22083306312561	0.49819111824035645	0.5470719337463379	3.1888208389282227
