model	nDCGRendle2020	Recall	HR	Precision	MAP	MRR	similarity_time	indexing_time	candidates_retrieval_time	similarity_matrix_time
UserKNN_nn=200_sim=rp_custom_imp=standard_bits=4_tables=8_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.1963267020687014	0.16437694349718085	0.8142544965540427	0.1308623298033283	0.17177233373828876	0.4032651585287263	4.5730650424957275	0.13611078262329102	1.9362568855285645	2.024662971496582
UserKNN_nn=200_sim=rp_custom_imp=standard_bits=16_tables=8_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.21970701417673177	0.18508696966504726	0.8448478735922004	0.14340225247940833	0.19178125425795736	0.4422531365652188	19.06316900253296	0.3550746440887451	16.244477033615112	1.986936092376709
UserKNN_nn=200_sim=rp_custom_imp=standard_bits=4_tables=2_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.19633802700423325	0.16477056962821582	0.8125735417717264	0.13034963859472182	0.17219903044244403	0.4043345353062312	3.225874185562134	0.037301063537597656	0.754096269607544	1.988027811050415
UserKNN_nn=200_sim=rp_custom_imp=standard_bits=8_tables=2_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.20024444398602645	0.17059668145456564	0.8253487981173306	0.1339973104723483	0.1743512523118645	0.4026842440253493	3.1236319541931152	0.055090904235839844	0.5812840461730957	2.0465710163116455
UserKNN_nn=200_sim=rp_custom_imp=standard_bits=4_tables=12_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.19551684572399228	0.16586671781269288	0.8191292654227601	0.13065221045553874	0.17103060383109142	0.39931116003899525	5.0373499393463135	0.20325398445129395	2.384800672531128	1.9900329113006592
UserKNN_nn=200_sim=rp_custom_imp=standard_bits=8_tables=12_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.2099540128051386	0.17611164808582286	0.8324088082030593	0.13785510169776433	0.18381547068612647	0.42802065130406725	4.120329141616821	0.3223891258239746	1.3550069332122803	1.9844110012054443
UserKNN_nn=200_sim=rp_custom_imp=standard_bits=32_tables=10_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.23694976774480192	0.20232224177920008	0.8656917128929231	0.1532694570516053	0.20448775879596234	0.4649403073413314	37.35727787017822	0.8185081481933594	34.01292586326599	2.0557448863983154
UserKNN_nn=200_sim=rp_custom_imp=standard_bits=8_tables=8_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.20884541261980458	0.17730698202628925	0.8335854765506808	0.1383341738107245	0.18252255344708965	0.42176025939794287	3.644092082977295	0.2121448516845703	0.9881398677825928	1.9926977157592773
UserKNN_nn=200_sim=rp_custom_imp=standard_bits=32_tables=2_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.22388171019683503	0.19016599980133583	0.8472012102874432	0.146402756765843	0.19466930698822443	0.44267513609698883	20.09400177001953	0.1499481201171875	17.45332908630371	2.010066270828247
UserKNN_nn=200_sim=rp_custom_imp=standard_bits=2_tables=10_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.19272477391320716	0.16290043033801271	0.8087073457723988	0.1285510169776433	0.16886112651594384	0.39566134827581195	5.8643271923065186	0.12457871437072754	3.27179217338562	1.9902098178863525
UserKNN_nn=200_sim=rp_custom_imp=standard_bits=2_tables=4_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.19272677171076286	0.1626858611472453	0.8078668683812406	0.12838292149941166	0.16884016727186377	0.3944583818520407	5.3662872314453125	0.05211496353149414	2.6236770153045654	2.2119381427764893
UserKNN_nn=200_sim=rp_custom_imp=standard_bits=4_tables=6_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.19779203408864426	0.16593151452244026	0.8142544965540427	0.13130778282064215	0.17334161335738696	0.40594534693475925	4.263071060180664	0.10537385940551758	1.5977756977081299	2.086184024810791
UserKNN_nn=200_sim=rp_custom_imp=standard_bits=8_tables=6_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.21005320994094956	0.17707492315390028	0.8349302403765338	0.13876281728021517	0.18380352351198004	0.4259987758391763	3.5049829483032227	0.16408205032348633	0.8726980686187744	2.008514165878296
UserKNN_nn=200_sim=rp_custom_imp=standard_bits=32_tables=12_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.23789216485653986	0.20229461186865982	0.866700285762313	0.15366448142544967	0.20573678354898547	0.4676861408263895	42.04847192764282	0.9471292495727539	38.53890085220337	2.081596851348877
UserKNN_nn=200_sim=rp_custom_imp=standard_bits=2_tables=2_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.19436186192252977	0.16359650827967245	0.8097159186417885	0.1292822323079509	0.17036563143842667	0.4011370790441225	4.099480152130127	0.027046918869018555	1.5977599620819092	2.0009357929229736
UserKNN_nn=200_sim=rp_custom_imp=standard_bits=2_tables=8_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.192866740469438	0.1627952982346375	0.81089258698941	0.12881996974281393	0.16892445892397784	0.3943402554614692	5.699422121047974	0.10334897041320801	3.065368175506592	2.056391716003418
