model	nDCGRendle2020	Recall	HR	Precision	MAP	MRR	similarity_time	indexing_time	candidates_retrieval_time	similarity_matrix_time
ItemKNN_nn=200_sim=rp_faiss_imp=standard_bin=False_bits=8_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.13105805362847803	0.10398538929147355	0.711716254832745	0.09180534543620777	0.1180228257970257	0.3066436766834029	1.759965181350708	0.06999611854553223	0.06930923461914062	1.2457709312438965
ItemKNN_nn=200_sim=rp_faiss_imp=standard_bin=False_bits=256_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.2429124580981825	0.20408613154715383	0.8677088586317028	0.1611111111111111	0.21386938561891508	0.47194672333193033	1.9900879859924316	0.05181384086608887	0.06297588348388672	1.4204721450805664
ItemKNN_nn=200_sim=rp_faiss_imp=standard_bin=False_bits=128_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.216244760905125	0.18014511106129236	0.8377878635064717	0.14670532862665994	0.19228226129605444	0.4292727342192494	1.9694671630859375	0.050074100494384766	0.06354284286499023	1.4326388835906982
ItemKNN_nn=200_sim=rp_faiss_imp=standard_bin=False_bits=2_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.18185759123244047	0.1380707606619744	0.7576063203899815	0.122146579257018	0.16844693708489925	0.4009012917434774	1.5849378108978271	0.05088996887207031	0.058296918869018555	1.2449719905853271
ItemKNN_nn=200_sim=rp_faiss_imp=standard_bin=False_bits=16_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.1477112856197229	0.11780075200326583	0.7377710539586485	0.10316019499075475	0.13253875939696513	0.3318296801113202	1.7883789539337158	0.04838109016418457	0.06279921531677246	1.293889045715332
ItemKNN_nn=200_sim=rp_faiss_imp=standard_bin=False_bits=64_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.18511646701471282	0.1550411042170908	0.8013111447302067	0.13043368633383762	0.16356946144859646	0.37289374685619314	1.8786909580230713	0.05086326599121094	0.0605013370513916	1.362187147140503
ItemKNN_nn=200_sim=rp_faiss_imp=standard_bin=False_bits=4_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.14236900138876693	0.10610127451168642	0.7006219532694571	0.09510001680954783	0.13253775808403065	0.344626613473187	1.5538139343261719	0.05025911331176758	0.057676076889038086	1.1967501640319824
ItemKNN_nn=200_sim=rp_faiss_imp=standard_bin=False_bits=512_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.25959710020505783	0.21892840752734052	0.8826693561943184	0.171684316691881	0.22817686740297996	0.4945103623847989	2.253870964050293	0.05659222602844238	0.07217168807983398	1.5949249267578125
ItemKNN_nn=200_sim=rp_faiss_imp=standard_bin=False_bits=32_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.15723346894567145	0.13088683809150561	0.7671877626491848	0.11042191965036142	0.13886331720839412	0.33539661572755175	1.7804181575775146	0.04778623580932617	0.058487653732299805	1.2785742282867432
