model	nDCGRendle2020	Recall	HR	Precision	MAP	MRR	similarity_time	indexing_time	candidates_retrieval_time	similarity_matrix_time
UserKNN_nn=300_sim=rp_custom_imp=standard_bits=8_tables=1_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.009255309654346568	0.014178909088659087	0.01968686472413424	0.0010449730732194444	0.002157617226558891	0.00934711073836385	24.06387996673584	0.26055097579956055	4.472271680831909	16.146990060806274
UserKNN_nn=300_sim=rp_custom_imp=standard_bits=256_tables=1_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.06626161985358198	0.0983847323327057	0.12197296622561432	0.006546239166874711	0.01430595902181511	0.06439894308162944	2134.5659668445587	4.4033801555633545	2110.042568922043	16.496385097503662
UserKNN_nn=300_sim=rp_custom_imp=standard_bits=128_tables=1_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.05455450269066534	0.08066652842402725	0.09848782053568245	0.005219515674596099	0.011567471970244424	0.052284127190192896	1165.871494293213	2.4040980339050293	1143.5018508434296	16.37855291366577
UserKNN_nn=300_sim=rp_custom_imp=standard_bits=2_tables=1_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.005879904261230485	0.008660613262319964	0.012946253432718713	0.0006606869003887443	0.001391154016976732	0.006225905240661418	87.95933413505554	0.12012100219726562	68.76558423042297	16.222140073776245
UserKNN_nn=300_sim=rp_custom_imp=standard_bits=16_tables=1_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.015530612860309856	0.02303112839396991	0.03004743393130996	0.0015754841470808519	0.0033997593627712558	0.01514107699852881	180.52291703224182	0.4456360340118408	160.61529302597046	16.248435020446777
UserKNN_nn=300_sim=rp_custom_imp=standard_bits=64_tables=1_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.03978907098280601	0.05822744741612911	0.07115089696494169	0.003769749277791648	0.008494814834838058	0.03830593361836236	647.3968629837036	1.3317019939422607	626.2732050418854	16.367184162139893
UserKNN_nn=300_sim=rp_custom_imp=standard_bits=4_tables=1_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.006861691965820562	0.010249630207849242	0.015157459253183066	0.0007810549591640215	0.0016392679011813854	0.00715483459528905	38.294488191604614	0.17526698112487793	19.196024179458618	15.920133829116821
UserKNN_nn=300_sim=rp_custom_imp=standard_bits=512_tables=1_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.07379334705343359	0.11032472072295783	0.13925246977424302	0.007543956631834231	0.01632326694209206	0.07274061039947456	4146.757506132126	8.90548586845398	4117.734253883362	16.436306953430176
UserKNN_nn=300_sim=rp_custom_imp=standard_bits=32_tables=1_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.025679336039643785	0.037368519751825466	0.046560148364777634	0.002451941938014908	0.005497321502804371	0.02484288799975655	389.9383101463318	0.7845170497894287	369.4398090839386	16.412134885787964
