model	nDCGRendle2020	Recall	HR	Precision	MAP	MRR	similarity_time	indexing_time	candidates_retrieval_time	similarity_matrix_time
ItemKNN_nn=600_sim=rp_faiss_imp=standard_bin=False_bits=512_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.07223391564663277	0.09500159351742042	0.17395847847289955	0.010317681482513585	0.021909124575187473	0.09471154256717422	5.737603187561035	0.6860229969024658	0.6381402015686035	3.226720094680786
ItemKNN_nn=600_sim=rp_faiss_imp=standard_bin=False_bits=16_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.041199896682649284	0.049333755102160634	0.09892712832659886	0.005601226139055316	0.01308202507899381	0.05911876157191322	5.281469106674194	0.6219303607940674	0.576732873916626	3.094639778137207
ItemKNN_nn=600_sim=rp_faiss_imp=standard_bin=False_bits=32_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.055874010550852685	0.0656119000983081	0.12679392503831685	0.0073080674376480425	0.017384584354316633	0.07964826127447112	5.285783052444458	0.5016031265258789	0.5989670753479004	3.168637990951538
ItemKNN_nn=600_sim=rp_faiss_imp=standard_bin=False_bits=128_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.06614570097147525	0.08340758444145517	0.15598439459384145	0.009161209418977289	0.020321717005966678	0.08994940744016847	5.559144973754883	0.669241189956665	0.5898487567901611	3.193824052810669
ItemKNN_nn=600_sim=rp_faiss_imp=standard_bin=False_bits=2_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0208163841650021	0.02771292836456903	0.0568482652919047	0.0032116483210254984	0.006566907996506751	0.028370866358567653	5.103436231613159	0.6248340606689453	0.5166997909545898	3.1803410053253174
ItemKNN_nn=600_sim=rp_faiss_imp=standard_bin=False_bits=8_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.03517646951659871	0.043302515044173956	0.08708373972411872	0.0048662393757837544	0.011030070124693644	0.04997016743930852	5.195499897003174	0.565742015838623	0.5534639358520508	3.134364128112793
ItemKNN_nn=600_sim=rp_faiss_imp=standard_bin=False_bits=4_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.02607762302871409	0.03386495345290144	0.06973665877107427	0.003932701685941202	0.008244365847043371	0.03625377752092034	5.919744968414307	1.2276721000671387	0.5822231769561768	3.2177298069000244
ItemKNN_nn=600_sim=rp_faiss_imp=standard_bin=False_bits=256_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.07021912417258314	0.091579055328991	0.1676187822209837	0.009979796572384004	0.0214378955773865	0.09303037446232017	5.969564199447632	0.8560678958892822	0.678229808807373	3.2567639350891113
ItemKNN_nn=600_sim=rp_faiss_imp=standard_bin=False_bits=64_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.06255278942097739	0.07652247444576306	0.14448934095025776	0.008373972411871256	0.019388437408302123	0.08703189198910558	5.6162331104278564	0.6471579074859619	0.6293821334838867	3.2203571796417236
