model	nDCGRendle2020	Recall	HR	Precision	MAP	MRR	similarity_time	indexing_time	similarity_matrix_time	candidates_retrieval_time
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=10_tables=10_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.021992739004183037	0.03395788872540736	0.06569597324787516	0.003622683572523339	0.006455593087118814	0.026110645460191394	7.079338073730469	0.5588870048522949	4.559426784515381	1.5677530765533447
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=9_tables=15_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.037596217749061134	0.05738109009385374	0.10589382750452836	0.005973944545074544	0.010935004646010812	0.044498610934442774	8.695416927337646	0.7518031597137451	4.980742931365967	2.0334110260009766
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=12_tables=5_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.006498553653598966	0.010098489262915658	0.019367423714644002	0.0010380381775114951	0.001973384903184948	0.007756505059098354	6.466088056564331	0.3918190002441406	4.352898836135864	1.3348000049591064
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=10_tables=25_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.03674654819614588	0.0541626615584891	0.10080813710463982	0.005740560122613906	0.01079705324981059	0.04438734004331193	9.396265983581543	1.359011173248291	4.713698863983154	2.870893955230713
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=7_tables=25_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.06864536932968586	0.10188403326892917	0.18663787097673123	0.01100390135153964	0.02038199091097003	0.08251753713180525	13.605977296829224	1.0283119678497314	6.696406841278076	5.311439037322998
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=11_tables=25_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.029291809900718772	0.044897032036496705	0.0831127211926989	0.004632854953323115	0.008459096877222499	0.03443347184374054	9.004197120666504	1.5618441104888916	4.539071083068848	2.4333858489990234
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=6_tables=10_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.06118131404138892	0.08980559537364322	0.16657377734429427	0.009722028702800613	0.018106317837039684	0.0742535105779475	11.908132076263428	0.380964994430542	6.866511821746826	4.13546085357666
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=6_tables=15_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.06964709924434938	0.10218620414888381	0.18768287585342064	0.01109795179044169	0.020672471557617512	0.08384487166313712	14.407917976379395	0.7151648998260498	7.631259202957153	5.454980850219727
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=11_tables=20_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.02614562697122005	0.03946050075643134	0.07384701128605267	0.004103385815800474	0.007599425200167201	0.030810352213734453	8.375184774398804	1.2950031757354736	4.49199104309082	2.17539381980896
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=12_tables=10_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.01053633149494135	0.016543083101605773	0.031210812317124147	0.0017486414936603038	0.0031687442028138692	0.0121847106141675	6.834519147872925	0.6523838043212891	4.3730628490448	1.3937170505523682
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=12_tables=30_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.02378752050627204	0.036563321461499765	0.06743764804235754	0.0037933677023826115	0.006903858930881527	0.027246270758160086	9.5203537940979	1.9951591491699219	4.453610181808472	2.651087999343872
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=9_tables=20_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.042971979933335076	0.06451638291461907	0.11961822488504946	0.00677163160094747	0.012490506224504521	0.05123568547516781	8.707295894622803	1.01350998878479	4.812711000442505	2.4234209060668945
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=6_tables=20_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.07496497331579063	0.11114470759797128	0.200989271283266	0.012024522781106313	0.022110545561717706	0.08957072293038987	16.409082174301147	0.7466678619384766	8.330739974975586	6.6986918449401855
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=10_tables=20_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.03268563382625925	0.048674314691807635	0.09098509126375923	0.00514142399331197	0.0097080847537928	0.03932591358718734	8.208056211471558	1.0881381034851074	4.586105823516846	2.0966849327087402
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=6_tables=30_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.08069194596502136	0.12093270562178804	0.21729134735962102	0.013052110909850912	0.023855937127237947	0.09568470523005371	21.82347583770752	1.1003541946411133	9.718017101287842	10.251274108886719
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=7_tables=5_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0351293709159444	0.05218695035399557	0.10025080117040547	0.005639542984533928	0.010456306350427862	0.04336550008864249	6.969528913497925	0.20951175689697266	4.763721227645874	1.5876011848449707
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=8_tables=25_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.05772633080103177	0.08436205748519285	0.15584506061028286	0.009171659467744182	0.017279473931360402	0.07061084002893678	11.624768733978271	1.1255521774291992	6.177051067352295	3.817326784133911
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=8_tables=20_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.05319773346435711	0.07815977931770106	0.14630068273651944	0.008447122753239516	0.01580912615684452	0.06482199684474775	9.75754714012146	0.9136538505554199	5.305669784545898	3.0538361072540283
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=10_tables=5_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.014058422795406747	0.02163995261153301	0.043472202870280065	0.002382611118851888	0.004298264127447754	0.017053916115323253	6.1622960567474365	0.27420902252197266	4.42524790763855	1.0707597732543945
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=11_tables=15_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.02174647897054231	0.032868658529359336	0.062351957642469	0.0034728995401978545	0.006455377684604708	0.02589252516364505	7.36261510848999	0.884523868560791	4.395975112915039	1.68147611618042
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=8_tables=5_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.02744132711839374	0.04178897492963218	0.07921136965305837	0.0044168872788073014	0.008112906512655036	0.03304690362424401	6.4646971225738525	0.23543000221252441	4.567806959152222	1.249345064163208
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=12_tables=15_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.014745894642149548	0.022716628527931382	0.042078863034694165	0.0023338442246063815	0.00434745722038309	0.01701684414774821	7.374416828155518	0.9307441711425781	4.408131837844849	1.6319990158081055
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=9_tables=10_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.03011790450842371	0.04649825535349085	0.08596906785564999	0.00486275602619479	0.008783263936100887	0.03556861144161649	7.173619985580444	0.5053770542144775	4.576454162597656	1.6911849975585938
