model	nDCGRendle2020	Recall	HR	Precision	MAP	MRR	similarity_time	indexing_time	candidates_retrieval_time	similarity_matrix_time
UserKNN_nn=300_sim=rp_faiss_imp=standard_bits=8_tables=1_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.019030154341148853	0.028571564872060553	0.057962937160373415	0.003239515117737216	0.005819158404935349	0.023629991512370555	5.200144052505493	0.13192105293273926	0.21242690086364746	4.028987884521484
UserKNN_nn=300_sim=rp_faiss_imp=standard_bits=256_tables=1_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.07192118728319362	0.10536900068861253	0.1857322000836004	0.010927267660582418	0.020957223598965458	0.08556783404895613	5.0465006828308105	0.08755111694335938	0.20691418647766113	3.943391799926758
UserKNN_nn=300_sim=rp_faiss_imp=standard_bits=128_tables=1_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.059068321201015524	0.08576103443233762	0.15264037898843527	0.008840741256792533	0.01712678179037528	0.07081358719567248	4.964023113250732	0.07703590393066406	0.1796579360961914	3.9322497844696045
UserKNN_nn=300_sim=rp_faiss_imp=standard_bits=2_tables=1_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.005917556193148092	0.009098228284609487	0.01769541591194092	0.0009892712832659885	0.0017316353732302718	0.007226193303803087	4.898178815841675	0.06081891059875488	0.14112496376037598	4.08047890663147
UserKNN_nn=300_sim=rp_faiss_imp=standard_bits=16_tables=1_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.027206862472359174	0.04105788124970592	0.07976870558729274	0.004451720774696949	0.008188919791442184	0.03309715151638699	5.002874851226807	0.06277108192443848	0.19161009788513184	3.9486801624298096
UserKNN_nn=300_sim=rp_faiss_imp=standard_bits=64_tables=1_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0477779583051396	0.06981382427538145	0.12623658910408248	0.007179183502856346	0.01386482396221998	0.057006998372731855	4.9566850662231445	0.06555294990539551	0.1730198860168457	3.9418632984161377
UserKNN_nn=300_sim=rp_faiss_imp=standard_bits=4_tables=1_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.012481033764140264	0.01905570590057951	0.038316845478612235	0.0021318099484464266	0.0037256476773311923	0.015083587893488456	4.879528999328613	0.06007814407348633	0.16955924034118652	3.9430742263793945
UserKNN_nn=300_sim=rp_faiss_imp=standard_bits=512_tables=1_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.08042341789270882	0.11840589708937015	0.21109098509126376	0.012459941479726904	0.023744513560444283	0.09624612382866357	5.2952330112457275	0.12387704849243164	0.2513000965118408	3.9925148487091064
UserKNN_nn=300_sim=rp_faiss_imp=standard_bits=32_tables=1_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.035820951775303624	0.05379613535243715	0.09850912637592309	0.005629092935767035	0.010631320431572847	0.04291884076142064	4.980771064758301	0.06119394302368164	0.17136883735656738	4.0030810832977295
