model	nDCGRendle2020	Recall	HR	Precision	MAP	MRR	similarity_time	indexing_time	candidates_retrieval_time	similarity_matrix_time
UserKNN_nn=300_sim=rp_custom_imp=standard_bits=9_tables=6_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.014418496053448245	0.021264995560222155	0.028246371125931737	0.0014631406255572596	0.0032056249102678765	0.01429359326832917	33.69575500488281	1.5885019302368164	12.874741077423096	16.05017924308777
UserKNN_nn=300_sim=rp_custom_imp=standard_bits=15_tables=6_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.02185927548242489	0.031353223069862726	0.03999786012339955	0.0021042119904418847	0.004760336219868841	0.021442495773862324	408.3316888809204	2.7327840328216553	385.21171379089355	16.783705949783325
UserKNN_nn=300_sim=rp_custom_imp=standard_bits=15_tables=1_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.015443914617154823	0.022849288776141265	0.02977994935625379	0.0015442776133242984	0.0033840011308296993	0.015090648483582247	140.51483392715454	0.44722676277160645	119.88054466247559	16.600351095199585
UserKNN_nn=300_sim=rp_custom_imp=standard_bits=13_tables=1_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.012993668417616512	0.019027739155833945	0.025482363850351297	0.001319590570277114	0.0028885274378845937	0.012954261880933094	59.30341601371765	0.39122915267944336	38.710243225097656	16.713468074798584
UserKNN_nn=300_sim=rp_custom_imp=standard_bits=14_tables=2_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.015439663101630138	0.022606810336172692	0.029762117051250044	0.0015487356895752345	0.003409117341149704	0.015330987095932997	119.62546420097351	0.8151581287384033	98.54072403907776	16.737920999526978
UserKNN_nn=300_sim=rp_custom_imp=standard_bits=9_tables=4_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.013743494897812594	0.020704088138369707	0.027604408145796927	0.001431934091800706	0.003077866169784829	0.013576633595738869	31.572170972824097	1.1236438751220703	10.128083944320679	16.88173198699951
UserKNN_nn=300_sim=rp_custom_imp=standard_bits=12_tables=8_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.017616541991973652	0.026210833284874488	0.03363172723706266	0.0017538071971182996	0.003810122347909223	0.017052659157604868	94.5789692401886	2.8418149948120117	71.3407142162323	16.818718194961548
UserKNN_nn=300_sim=rp_custom_imp=standard_bits=14_tables=6_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.02025698477070036	0.029321592093671345	0.03746567281286779	0.0019526373979100538	0.004352523308175953	0.019793822398309215	245.5364580154419	2.446908950805664	222.6611692905426	16.872302055358887
UserKNN_nn=300_sim=rp_custom_imp=standard_bits=12_tables=1_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.013066854493405325	0.01928698469898878	0.02601733300046364	0.0013561467955347907	0.0029352757744519438	0.013000268033484428	39.63165521621704	0.3602778911590576	19.525317192077637	16.42656683921814
UserKNN_nn=300_sim=rp_custom_imp=standard_bits=8_tables=2_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.011188897878834446	0.016868836885339005	0.02287884731980456	0.0011760405149969684	0.002504888061772659	0.010998178111191142	26.583649158477783	0.5142309665679932	6.237738132476807	16.58879017829895
UserKNN_nn=300_sim=rp_custom_imp=standard_bits=10_tables=6_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.015432511392328993	0.022650065037843007	0.030279253896358643	0.001569242840329541	0.0034347881219521444	0.015438769693623226	39.2883038520813	1.8003041744232178	17.790390729904175	16.447970151901245
UserKNN_nn=300_sim=rp_custom_imp=standard_bits=15_tables=8_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0226671850955043	0.03274538129703742	0.04163843218374407	0.0021969399764613573	0.00492110720552913	0.022093037959919307	518.7801830768585	3.5952529907226562	495.49518609046936	16.303694009780884
UserKNN_nn=300_sim=rp_custom_imp=standard_bits=15_tables=4_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.020031009745044688	0.029367109316666102	0.037305182067834085	0.0019588787046613642	0.0043722332871869735	0.0195407339076817	297.62895917892456	1.7003240585327148	275.85417890548706	16.53592324256897
