model	nDCGRendle2020	Recall	HR	Precision	MAP	MRR	similarity_time	indexing_time	candidates_retrieval_time	similarity_matrix_time
ItemKNN_nn=600_sim=rp_faiss_imp=standard_bin=False_bits=512_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.052483668718987485	0.0727870210822472	0.09477870109490352	0.005166910374835051	0.011913150669494627	0.05489236330614307	37.87278723716736	10.64483118057251	10.941956281661987	11.517832040786743
ItemKNN_nn=600_sim=rp_faiss_imp=standard_bin=False_bits=16_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.01973228936077602	0.023052304788973865	0.03418452869217875	0.0018313777238845893	0.00484139213884262	0.02371531431797045	34.84486484527588	9.886101007461548	10.151375770568848	11.21439504623413
ItemKNN_nn=600_sim=rp_faiss_imp=standard_bin=False_bits=32_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.026458043364511036	0.031085991908289767	0.04513356396447805	0.002443917400763223	0.006433462274382952	0.03150270769723681	34.066514015197754	9.483891010284424	9.87536096572876	11.155725002288818
ItemKNN_nn=600_sim=rp_faiss_imp=standard_bin=False_bits=128_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.04453481509020688	0.05665195917692684	0.07648275616106139	0.0041656264488747815	0.010429530440133589	0.04925458609114912	34.920467138290405	9.599096775054932	9.964659929275513	11.427878141403198
ItemKNN_nn=600_sim=rp_faiss_imp=standard_bin=False_bits=2_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0049905731607208315	0.007067688645255247	0.011109526017333001	0.0006098648311280715	0.0012562604140026927	0.005639479551728269	33.222989082336426	9.535266160964966	9.810131788253784	11.2847740650177
ItemKNN_nn=600_sim=rp_faiss_imp=standard_bin=False_bits=8_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.010403536908488144	0.013122012276480879	0.020649809194336458	0.0011073861407325512	0.0026587627251447228	0.012689533018506333	34.43463706970215	9.651923894882202	10.072958946228027	11.22943902015686
ItemKNN_nn=600_sim=rp_faiss_imp=standard_bin=False_bits=4_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.006136445302918256	0.00877573625610086	0.01405185634295089	0.0007881878811655197	0.0016224160018252878	0.007157106816778241	34.06819295883179	9.793049812316895	10.043008089065552	11.178343057632446
ItemKNN_nn=600_sim=rp_faiss_imp=standard_bin=False_bits=256_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.04996485445586108	0.06704855613034051	0.08891187274867149	0.004839687578016334	0.011489514402506685	0.05345989085731369	35.92805194854736	10.051832914352417	10.397611141204834	11.360605955123901
ItemKNN_nn=600_sim=rp_faiss_imp=standard_bin=False_bits=64_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.03695946449373838	0.044604951134785825	0.061806769142979424	0.0033542565712043945	0.008759772581846736	0.04230343612953673	35.010231256484985	9.804775953292847	10.072168827056885	11.238004922866821
