model	nDCGRendle2020	Recall	HR	Precision	MAP	MRR	similarity_time	indexing_time	candidates_retrieval_time	similarity_matrix_time
ItemKNN_nn=600_sim=rp_custom_imp=standard_bin=False_bits=2_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0016253448762166035	0.003190181616305813	0.004068522483940043	0.0002069950035688794	0.0003415334833512749	0.0012719195508274737	6.018758058547974	0.01965618133544922	2.527621269226074	2.768984794616699
ItemKNN_nn=600_sim=rp_custom_imp=standard_bin=False_bits=64_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.003415925466895287	0.006464430168926957	0.007994289793004997	0.00041399000713775874	0.000670615666773873	0.0027220341433817877	129.9563648700714	0.19675374031066895	126.26091504096985	2.783573865890503
ItemKNN_nn=600_sim=rp_custom_imp=standard_bin=False_bits=16_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0027049216059104415	0.005630502022364977	0.006780870806566738	0.0003497501784439686	0.0005315726571278775	0.00198316344328536	50.03247880935669	0.13682818412780762	46.38932681083679	2.788851022720337
ItemKNN_nn=600_sim=rp_custom_imp=standard_bin=False_bits=32_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.003467669678435641	0.0071663097787294785	0.008779443254817988	0.00045324768022840826	0.0006592093920994883	0.0026108538484981227	78.95257592201233	0.11308503150939941	75.40539860725403	2.780627965927124
ItemKNN_nn=600_sim=rp_custom_imp=standard_bin=False_bits=4_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0016792617074098601	0.0035411214212070744	0.004853675945753033	0.00025695931477516065	0.000372190220511466	0.0013244411460910952	4.7643749713897705	0.026304006576538086	1.2561559677124023	2.8178510665893555
ItemKNN_nn=600_sim=rp_custom_imp=standard_bin=False_bits=256_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.004181960624461499	0.008883733840907288	0.010563882940756603	0.0005424696645253391	0.0007590639544795743	0.0030938027690319845	444.6417329311371	0.7349388599395752	440.318794965744	2.8533077239990234
ItemKNN_nn=600_sim=rp_custom_imp=standard_bin=False_bits=8_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0019458075312405573	0.004008644618922991	0.005139186295503212	0.00026409707351891505	0.00040042301835307385	0.0015019492562319114	5.723541021347046	0.042482852935791016	2.1987218856811523	2.815311908721924
ItemKNN_nn=600_sim=rp_custom_imp=standard_bin=False_bits=128_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0038535635561289224	0.008155682449044334	0.009778729478943612	0.0005032119914346896	0.0007258835949870714	0.0028516451486913764	239.22187185287476	0.38390207290649414	235.2957730293274	2.8249690532684326
