model	nDCGRendle2020	Recall	HR	Precision	MAP	MRR	similarity_time	indexing_time	candidates_retrieval_time	similarity_matrix_time
ItemKNN_nn=600_sim=rp_faiss_imp=standard_bin=False_bits=512_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.004275521402758774	0.01004956776905385	0.011777301927194861	0.0006031406138472521	0.0007543465751980843	0.002899055683817453	4.8194260597229	0.5607049465179443	0.5760982036590576	2.8508102893829346
ItemKNN_nn=600_sim=rp_faiss_imp=standard_bin=False_bits=16_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.003194177895772086	0.00677730192719486	0.00806566738044254	0.00041755888650963594	0.0006059370050111957	0.00243407084284233	4.47256326675415	0.44826388359069824	0.527055025100708	2.858930826187134
ItemKNN_nn=600_sim=rp_faiss_imp=standard_bin=False_bits=32_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0034050896808130527	0.007394718058529621	0.008779443254817988	0.0004532476802284083	0.0006136002422953582	0.0024714277678408786	4.520803928375244	0.5289840698242188	0.5151081085205078	2.831058979034424
ItemKNN_nn=600_sim=rp_faiss_imp=standard_bin=False_bits=128_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.003650930738127768	0.008328178285351732	0.009992862241256246	0.0005139186295503213	0.0006620448342758589	0.002546406532201177	4.649545907974243	0.5193872451782227	0.5296549797058105	2.870119333267212
ItemKNN_nn=600_sim=rp_faiss_imp=standard_bin=False_bits=2_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.00175091737879455	0.004417876120231581	0.005496074232690935	0.000278372591006424	0.00031653585009063623	0.0012333553880447632	4.460041761398315	0.5631420612335205	0.4997518062591553	2.800903081893921
ItemKNN_nn=600_sim=rp_faiss_imp=standard_bin=False_bits=8_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0024075670244635607	0.005371956538980093	0.006566738044254105	0.00033190578158458244	0.00043158087006244997	0.0017415137848408643	4.603423357009888	0.5083558559417725	0.5668082237243652	2.8632640838623047
ItemKNN_nn=600_sim=rp_faiss_imp=standard_bin=False_bits=4_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0028480215297724187	0.006237211515584106	0.0074232690935046395	0.00037830121341898647	0.0005389593933300551	0.002114819505441087	4.702270030975342	0.5346460342407227	0.5399868488311768	2.9243571758270264
ItemKNN_nn=600_sim=rp_faiss_imp=standard_bin=False_bits=256_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0041387732813384865	0.009642715520659845	0.011277658815132048	0.0005781584582441114	0.0007390867080888362	0.002869551198379236	4.697668075561523	0.5599348545074463	0.5709550380706787	2.8426990509033203
ItemKNN_nn=600_sim=rp_faiss_imp=standard_bin=False_bits=64_tables=1_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0037802149201444325	0.008144182726623839	0.009778729478943612	0.0005032119914346896	0.0007052595074920736	0.0027448792964054067	4.63683295249939	0.4440932273864746	0.5428450107574463	2.9023029804229736
